source	target	prediction
henry dislikes himself <eos>	dislike ( henry , henry ) <eos>	dislike ( henry , henry ) <eos>
ursula notices herself <eos>	notice ( ursula , ursula ) <eos>	notice ( ursula , ursula ) <eos>
rachael likes herself <eos>	like ( rachael , rachael ) <eos>	like ( rachael , rachael ) <eos>
patricia knows herself <eos>	know ( patricia , patricia ) <eos>	know ( patricia , patricia ) <eos>
henry throws himself <eos>	throw ( henry , henry ) <eos>	throw ( henry , henry ) <eos>
samuel notices himself <eos>	notice ( samuel , samuel ) <eos>	notice ( samuel , samuel ) <eos>
neha knows herself <eos>	know ( neha , neha ) <eos>	know ( neha , neha ) <eos>
tracy likes herself <eos>	like ( tracy , tracy ) <eos>	like ( tracy , tracy ) <eos>
isla sees herself <eos>	see ( isla , isla ) <eos>	see ( isla , isla ) <eos>
daniel meets himself <eos>	meet ( daniel , daniel ) <eos>	meet ( daniel , daniel ) <eos>
daniel throws himself <eos>	throw ( daniel , daniel ) <eos>	throw ( daniel , daniel ) <eos>
henry sees himself <eos>	see ( henry , henry ) <eos>	see ( henry , henry ) <eos>
margaret throws herself <eos>	throw ( margaret , margaret ) <eos>	throw ( margaret , margaret ) <eos>
yvette throws herself <eos>	throw ( yvettte , yvettte ) <eos>	throw ( yvettte , yvettte ) <eos>
rachael sees herself <eos>	see ( rachael , rachael ) <eos>	see ( rachael , rachael ) <eos>
francis dislikes himself <eos>	dislike ( francis , francis ) <eos>	dislike ( francis , francis ) <eos>
neha sees herself <eos>	see ( neha , neha ) <eos>	see ( neha , neha ) <eos>
claire meets herself <eos>	meet ( claire , claire ) <eos>	meet ( claire , claire ) <eos>
oswald likes himself <eos>	like ( oswald , oswald ) <eos>	like ( oswald , oswald ) <eos>
claire likes herself <eos>	like ( claire , claire ) <eos>	like ( claire , claire ) <eos>
lewis likes himself <eos>	like ( lewis , lewis ) <eos>	like ( lewis , lewis ) <eos>
quinn dislikes himself <eos>	dislike ( quinn , quinn ) <eos>	dislike ( quinn , quinn ) <eos>
quinn sees himself <eos>	see ( quinn , quinn ) <eos>	see ( quinn , quinn ) <eos>
claire sees herself <eos>	see ( claire , claire ) <eos>	see ( claire , claire ) <eos>
samuel meets himself <eos>	meet ( samuel , samuel ) <eos>	meet ( samuel , samuel ) <eos>
winnifred sees herself <eos>	see ( winnifred , winnifred ) <eos>	see ( winnifred , winnifred ) <eos>
neha likes herself <eos>	like ( neha , neha ) <eos>	like ( neha , neha ) <eos>
patricia throws herself <eos>	throw ( patricia , patricia ) <eos>	throw ( patricia , patricia ) <eos>
ursula sees herself <eos>	see ( ursula , ursula ) <eos>	see ( ursula , ursula ) <eos>
daniel sees himself <eos>	see ( daniel , daniel ) <eos>	see ( daniel , daniel ) <eos>
victor throws himself <eos>	throw ( victor , victor ) <eos>	throw ( victor , victor ) <eos>
bob likes himself <eos>	like ( bob , bob ) <eos>	like ( bob , bob ) <eos>
oswald dislikes himself <eos>	dislike ( oswald , oswald ) <eos>	dislike ( oswald , oswald ) <eos>
katherine knows herself <eos>	know ( katherine , katherine ) <eos>	know ( katherine , katherine ) <eos>
margaret sees herself <eos>	see ( margaret , margaret ) <eos>	see ( margaret , margaret ) <eos>
victor notices himself <eos>	notice ( victor , victor ) <eos>	notice ( victor , victor ) <eos>
victor likes himself <eos>	like ( victor , victor ) <eos>	like ( victor , victor ) <eos>
eliza notices herself <eos>	notice ( eliza , eliza ) <eos>	notice ( eliza , eliza ) <eos>
neha throws herself <eos>	throw ( neha , neha ) <eos>	throw ( neha , neha ) <eos>
oswald sees himself <eos>	see ( oswald , oswald ) <eos>	see ( oswald , oswald ) <eos>
neha meets herself <eos>	meet ( neha , neha ) <eos>	meet ( neha , neha ) <eos>
tracy knows herself <eos>	know ( tracy , tracy ) <eos>	know ( tracy , tracy ) <eos>
henry notices himself <eos>	notice ( henry , henry ) <eos>	notice ( henry , henry ) <eos>
ursula dislikes herself <eos>	dislike ( ursula , ursula ) <eos>	dislike ( ursula , ursula ) <eos>
claire notices herself <eos>	notice ( claire , claire ) <eos>	notice ( claire , claire ) <eos>
grace meets herself <eos>	meet ( grace , grace ) <eos>	meet ( grace , grace ) <eos>
yvette notices herself <eos>	notice ( yvettte , yvettte ) <eos>	notice ( yvettte , yvettte ) <eos>
isla likes herself <eos>	like ( isla , isla ) <eos>	like ( isla , isla ) <eos>
oswald notices himself <eos>	notice ( oswald , oswald ) <eos>	notice ( oswald , oswald ) <eos>
neha dislikes herself <eos>	dislike ( neha , neha ) <eos>	dislike ( neha , neha ) <eos>
ursula meets herself <eos>	meet ( ursula , ursula ) <eos>	meet ( ursula , ursula ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos>
eliza dislikes herself <eos>	dislike ( eliza , eliza ) <eos>	dislike ( eliza , eliza ) <eos>
henry likes himself <eos>	like ( henry , henry ) <eos>	like ( henry , henry ) <eos>
claire knows herself <eos>	know ( claire , claire ) <eos>	know ( claire , claire ) <eos>
bob dislikes himself <eos>	dislike ( bob , bob ) <eos>	dislike ( bob , bob ) <eos>
margaret dislikes herself <eos>	dislike ( margaret , margaret ) <eos>	dislike ( margaret , margaret ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
john knows himself <eos>	know ( john , john ) <eos>	know ( john , john ) <eos>
francis meets himself <eos>	meet ( francis , francis ) <eos>	meet ( francis , francis ) <eos>
victor dislikes himself <eos>	dislike ( victor , victor ) <eos>	dislike ( victor , victor ) <eos>
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
grace knows herself <eos>	know ( grace , grace ) <eos>	know ( grace , grace ) <eos>
eliza sees herself <eos>	see ( eliza , eliza ) <eos>	see ( eliza , eliza ) <eos>
claire dislikes herself <eos>	dislike ( claire , claire ) <eos>	dislike ( claire , claire ) <eos>
daniel likes himself <eos>	like ( daniel , daniel ) <eos>	like ( daniel , daniel ) <eos>
eliza likes herself <eos>	like ( eliza , eliza ) <eos>	like ( eliza , eliza ) <eos>
john dislikes himself <eos>	dislike ( john , john ) <eos>	dislike ( john , john ) <eos>
oswald throws himself <eos>	throw ( oswald , oswald ) <eos>	throw ( oswald , oswald ) <eos>
rachael knows herself <eos>	know ( rachael , rachael ) <eos>	know ( rachael , rachael ) <eos>
lewis notices himself <eos>	notice ( lewis , lewis ) <eos>	notice ( lewis , lewis ) <eos>
isla throws herself <eos>	throw ( isla , isla ) <eos>	throw ( isla , isla ) <eos>
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos>
bob notices himself <eos>	notice ( bob , bob ) <eos>	notice ( bob , bob ) <eos>
bob knows himself <eos>	know ( bob , bob ) <eos>	know ( bob , bob ) <eos>
samuel throws himself <eos>	throw ( samuel , samuel ) <eos>	throw ( samuel , samuel ) <eos>
katherine throws herself <eos>	throw ( katherine , katherine ) <eos>	throw ( katherine , katherine ) <eos>
winnifred throws herself <eos>	throw ( winnifred , winnifred ) <eos>	throw ( winnifred , winnifred ) <eos>
francis knows himself <eos>	know ( francis , francis ) <eos>	know ( francis , francis ) <eos>
lewis meets himself <eos>	meet ( lewis , lewis ) <eos>	meet ( lewis , lewis ) <eos>
patricia meets herself <eos>	meet ( patricia , patricia ) <eos>	meet ( patricia , patricia ) <eos>
margaret meets herself <eos>	meet ( margaret , margaret ) <eos>	meet ( margaret , margaret ) <eos>
grace sees herself <eos>	see ( grace , grace ) <eos>	see ( grace , grace ) <eos>
winnifred likes herself <eos>	like ( winnifred , winnifred ) <eos>	like ( winnifred , winnifred ) <eos>
katherine likes herself <eos>	like ( katherine , katherine ) <eos>	like ( katherine , katherine ) <eos>
ursula likes herself <eos>	like ( ursula , ursula ) <eos>	like ( ursula , ursula ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
margaret notices herself <eos>	notice ( margaret , margaret ) <eos>	notice ( margaret , margaret ) <eos>
yvette knows herself <eos>	know ( yvettte , yvettte ) <eos>	know ( yvettte , yvettte ) <eos>
quinn notices himself <eos>	notice ( quinn , quinn ) <eos>	notice ( quinn , quinn ) <eos>
rachael dislikes herself <eos>	dislike ( rachael , rachael ) <eos>	dislike ( rachael , rachael ) <eos>
grace dislikes herself <eos>	dislike ( grace , grace ) <eos>	dislike ( grace , grace ) <eos>
winnifred notices herself <eos>	notice ( winnifred , winnifred ) <eos>	notice ( winnifred , winnifred ) <eos>
eliza throws herself <eos>	throw ( eliza , eliza ) <eos>	throw ( eliza , eliza ) <eos>
quinn throws himself <eos>	throw ( quinn , quinn ) <eos>	throw ( quinn , quinn ) <eos>
katherine dislikes herself <eos>	dislike ( katherine , katherine ) <eos>	dislike ( katherine , katherine ) <eos>
john meets himself <eos>	meet ( john , john ) <eos>	meet ( john , john ) <eos>
quinn likes himself <eos>	like ( quinn , quinn ) <eos>	like ( quinn , quinn ) <eos>
katherine meets herself <eos>	meet ( katherine , katherine ) <eos>	meet ( katherine , katherine ) <eos>
isla meets herself <eos>	meet ( isla , isla ) <eos>	meet ( isla , isla ) <eos>
samuel likes himself <eos>	like ( samuel , samuel ) <eos>	like ( samuel , samuel ) <eos>
grace notices herself <eos>	notice ( grace , grace ) <eos>	notice ( grace , grace ) <eos>
tracy dislikes herself <eos>	dislike ( tracy , tracy ) <eos>	dislike ( tracy , tracy ) <eos>
daniel dislikes himself <eos>	dislike ( daniel , daniel ) <eos>	dislike ( daniel , daniel ) <eos>
john notices himself <eos>	notice ( john , john ) <eos>	notice ( john , john ) <eos>
lewis dislikes himself <eos>	dislike ( lewis , lewis ) <eos>	dislike ( lewis , lewis ) <eos>
alice sees herself <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
claire throws herself <eos>	throw ( claire , claire ) <eos>	throw ( claire , claire ) <eos>
francis likes himself <eos>	like ( francis , francis ) <eos>	like ( francis , francis ) <eos>
lewis knows himself <eos>	know ( lewis , lewis ) <eos>	know ( lewis , lewis ) <eos>
grace throws herself <eos>	throw ( grace , grace ) <eos>	throw ( grace , grace ) <eos>
daniel notices himself <eos>	notice ( daniel , daniel ) <eos>	notice ( daniel , daniel ) <eos>
grace likes herself <eos>	like ( grace , grace ) <eos>	like ( grace , grace ) <eos>
yvette sees herself <eos>	see ( yvettte , yvettte ) <eos>	see ( yvettte , yvettte ) <eos>
lewis sees himself <eos>	see ( lewis , lewis ) <eos>	see ( lewis , lewis ) <eos>
neha notices herself <eos>	notice ( neha , neha ) <eos>	notice ( neha , neha ) <eos>
bob sees himself <eos>	see ( bob , bob ) <eos>	see ( bob , bob ) <eos>
patricia notices herself <eos>	notice ( patricia , patricia ) <eos>	notice ( patricia , patricia ) <eos>
john likes himself <eos>	like ( john , john ) <eos>	like ( john , john ) <eos>
margaret knows herself <eos>	know ( margaret , margaret ) <eos>	know ( margaret , margaret ) <eos>
patricia dislikes herself <eos>	dislike ( patricia , patricia ) <eos>	dislike ( patricia , patricia ) <eos>
isla notices herself <eos>	notice ( isla , isla ) <eos>	notice ( isla , isla ) <eos>
henry meets himself <eos>	meet ( henry , henry ) <eos>	meet ( henry , henry ) <eos>
yvette likes herself <eos>	like ( yvettte , yvettte ) <eos>	like ( yvettte , yvettte ) <eos>
katherine notices herself <eos>	notice ( katherine , katherine ) <eos>	notice ( katherine , katherine ) <eos>
samuel sees himself <eos>	see ( samuel , samuel ) <eos>	see ( samuel , samuel ) <eos>
samuel dislikes himself <eos>	dislike ( samuel , samuel ) <eos>	dislike ( samuel , samuel ) <eos>
samuel knows himself <eos>	know ( samuel , samuel ) <eos>	know ( samuel , samuel ) <eos>
patricia sees herself <eos>	see ( patricia , patricia ) <eos>	see ( patricia , patricia ) <eos>
quinn knows himself <eos>	know ( quinn , quinn ) <eos>	know ( quinn , quinn ) <eos>
victor knows himself <eos>	know ( victor , victor ) <eos>	know ( victor , victor ) <eos>
rachael notices herself <eos>	notice ( rachael , rachael ) <eos>	notice ( rachael , rachael ) <eos>
john sees himself <eos>	see ( john , john ) <eos>	see ( john , john ) <eos>
ursula throws herself <eos>	throw ( ursula , ursula ) <eos>	throw ( ursula , ursula ) <eos>
henry knows himself <eos>	know ( henry , henry ) <eos>	know ( henry , henry ) <eos>
eliza knows herself <eos>	know ( eliza , eliza ) <eos>	know ( eliza , eliza ) <eos>
lewis throws himself <eos>	throw ( lewis , lewis ) <eos>	throw ( lewis , lewis ) <eos>
francis notices himself <eos>	notice ( francis , francis ) <eos>	notice ( francis , francis ) <eos>
yvette dislikes herself <eos>	dislike ( yvettte , yvettte ) <eos>	dislike ( yvettte , yvettte ) <eos>
oswald meets himself <eos>	meet ( oswald , oswald ) <eos>	meet ( oswald , oswald ) <eos>
victor meets himself <eos>	meet ( victor , victor ) <eos>	meet ( victor , victor ) <eos>
yvette meets herself <eos>	meet ( yvettte , yvettte ) <eos>	meet ( yvettte , yvettte ) <eos>
tracy throws herself <eos>	throw ( tracy , tracy ) <eos>	throw ( tracy , tracy ) <eos>
victor sees himself <eos>	see ( victor , victor ) <eos>	see ( victor , victor ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
rachael throws herself <eos>	throw ( rachael , rachael ) <eos>	throw ( rachael , rachael ) <eos>
john throws himself <eos>	throw ( john , john ) <eos>	throw ( john , john ) <eos>
margaret likes herself <eos>	like ( margaret , margaret ) <eos>	like ( margaret , margaret ) <eos>
isla knows herself <eos>	know ( isla , isla ) <eos>	know ( isla , isla ) <eos>
rachael meets herself <eos>	meet ( rachael , rachael ) <eos>	meet ( rachael , rachael ) <eos>
tracy meets herself <eos>	meet ( tracy , tracy ) <eos>	meet ( tracy , tracy ) <eos>
ursula knows herself <eos>	know ( ursula , ursula ) <eos>	know ( ursula , ursula ) <eos>
winnifred meets herself <eos>	meet ( winnifred , winnifred ) <eos>	meet ( winnifred , winnifred ) <eos>
patricia likes herself <eos>	like ( patricia , patricia ) <eos>	like ( patricia , patricia ) <eos>
winnifred knows herself <eos>	know ( winnifred , winnifred ) <eos>	know ( winnifred , winnifred ) <eos>
francis sees himself <eos>	see ( francis , francis ) <eos>	see ( francis , francis ) <eos>
bob throws himself <eos>	throw ( bob , bob ) <eos>	throw ( bob , bob ) <eos>
francis throws himself <eos>	throw ( francis , francis ) <eos>	throw ( francis , francis ) <eos>
tracy notices herself <eos>	notice ( tracy , tracy ) <eos>	notice ( tracy , tracy ) <eos>
oswald knows himself <eos>	know ( oswald , oswald ) <eos>	know ( oswald , oswald ) <eos>
katherine sees herself <eos>	see ( katherine , katherine ) <eos>	see ( katherine , katherine ) <eos>
winnifred dislikes herself <eos>	dislike ( winnifred , winnifred ) <eos>	dislike ( winnifred , winnifred ) <eos>
isla dislikes herself <eos>	dislike ( isla , isla ) <eos>	dislike ( isla , isla ) <eos>
quinn meets himself <eos>	meet ( quinn , quinn ) <eos>	meet ( quinn , quinn ) <eos>
tracy sees herself <eos>	see ( tracy , tracy ) <eos>	see ( tracy , tracy ) <eos>
daniel knows himself <eos>	know ( daniel , daniel ) <eos>	know ( daniel , daniel ) <eos>
eliza meets herself <eos>	meet ( eliza , eliza ) <eos>	meet ( eliza , eliza ) <eos>
bob meets himself <eos>	meet ( bob , bob ) <eos>	meet ( bob , bob ) <eos>
